meanProb,maxProb,medianCatch,cap,scenario,Ass,Rule,Rec,INN,OER,period,years
0.0355,0.091,28465.06949,50000,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,initial,2021 - 2026
0.347,0.504,43958.63963,50000,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.264333333,0.376,41626.90128,50000,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,initial,2021 - 2026
0.2095,0.329,27486.37574,35000,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,initial,2021 - 2026
0.576166667,0.714,34107.13139,35000,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.4615,0.542,33704.28476,35000,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,initial,2021 - 2026
0.304333333,0.439,26369.07696,30000,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,initial,2021 - 2026
0.586166667,0.642,30000,30000,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.480833333,0.509,29785.08906,30000,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,initial,2021 - 2026
0.1215,0.239,27939.8574,40000,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,initial,2021 - 2026
0.488,0.644,37840.55173,40000,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.3795,0.484,36987.14876,40000,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,initial,2021 - 2026
0.064666667,0.143,28352.66721,45000,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,initial,2021 - 2026
0.4045,0.548,41217.1603,45000,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.3135,0.43,39578.07859,45000,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,initial,2021 - 2026
0.115833333,0.167,32758.46292,50000,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,initial,2021 - 2026
0.391833333,0.51,44812.48853,50000,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.309,0.385,42335.65904,50000,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,initial,2021 - 2026
