"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSnone_HCR10_REClow_INNvar_OERnone";"ASSnone";"HCR10";"REClow";"INNvar";"OERnone";247854.948992845;264124.295298444;326820.636482585;408550.54740582;437489.683426744;332865.66032772;307664.849356222;33369.581177017;0.975082669099769;0.5718;0.001;0.888;0.003;0.695;0.002;2.859;2.681;NA;0.005;0.005;2021;0;0;0;0.0588381679966856;0.0905833320353914;0.135300366465951;16105.1492470581;28705.846334387;50000;30065.621353338;7453.94919007956;6836.44766527423;0.978225740207207
"initial";"ASSnone_HCR10_REClowmed_INNvar_OERnone";"ASSnone";"HCR10";"REClowmed";"INNvar";"OERnone";316968.718349936;344270.302903481;465292.746396651;668010.959021046;736652.065316172;488741.331419389;507875.297588687;66154.7322053623;1.07358639206778;0.0858;0;0.244;0;0.162;0;0.429;0.4095;2024;0;0;2021;0;0;0;0.0591373343770996;0.0906182743832898;0.124197438113059;23361.1581151592;46310.5838497865;50000;41689.388738495;7830.0955423778;6324.49365965028;1.11867163764236
"initial";"ASSnone_HCR10_RECmix_INNvar_OERnone";"ASSnone";"HCR10";"RECmix";"INNvar";"OERnone";260476.887016996;278305.571108755;420208.805950775;636653.099627935;713478.813890147;441996.043740281;463254.971251571;55892.7395612933;1.05103869153192;0.2756;0.001;0.378;0.003;0.319;0.002;1.378;1.349;NA;0.005;0.005;2021;0;0;0;0.0583959013017768;0.0882632215835455;0.125895087739065;17432.0224409798;39201.1718713315;50000;37670.7192603938;7200.54379897497;5888.01160649507;1.06693152361517
"initial";"ASSnone_HCR7_REClow_INNvar_OERnone";"ASSnone";"HCR7";"REClow";"INNvar";"OERnone";285489.66294629;299678.896681056;362142.093350806;448270.129108302;477467.799697485;368948.335597728;364793.653515936;29183.6744696368;1.01605000665393;0.3222;0;0.616;0;0.385;0;1.611;1.4635;NA;0;0;2021;0.8212;1;4.106;0;0;0;0;1e-06;1e-06;8.808e-07;9.30204278639914e-08;5.20000000000001e-08;1
"initial";"ASSnone_HCR7_REClowmed_INNvar_OERnone";"ASSnone";"HCR7";"REClowmed";"INNvar";"OERnone";337722.313165615;368370.176067;513548.713109812;733083.48342083;803220.397115294;534907.857119479;592354.223099794;71093.1970562895;1.11357510534547;0.0498;0;0.171;0;0.162;0;0.249;0.248;2022;0;0;2021;0.8008;1;4.004;0;0;0;0;1e-06;1e-06;8.76e-07;9.57037094369911e-08;5.35000000000001e-08;1
"initial";"ASSnone_HCR7_RECmix_INNvar_OERnone";"ASSnone";"HCR7";"RECmix";"INNvar";"OERnone";289320.95011774;307315.048807449;468641.932862838;704686.020033702;779090.211363112;490645.419382314;559042.519269492;62701.3715948128;1.10134911431034;0.1866;0;0.329;0;0.319;0;0.933;0.9125;NA;0;0;2021;0.7994;1;3.997;0;0;0;0;1e-06;1e-06;8.784e-07;8.98899326954917e-08;5.02500000000001e-08;1
"initial";"ASSnone_HCR8_REClow_INNvar_OERnone";"ASSnone";"HCR8";"REClow";"INNvar";"OERnone";249014.041781828;264902.476667012;327855.948101265;410314.519603867;439240.925641951;334181.529451119;309348.458168621;33008.8629312077;0.976109948664557;0.5656;8e-04;0.879;0.002;0.685;0.002;2.828;2.6555;NA;0.004;0.004;2021;0;0;0;0.0592298666589021;0.0901229569771661;0.122069134249501;16201.9101548816;28859.2326250425;40000;29182.6034587601;6100.24674029204;5425.44444824238;0.974456024433529
"initial";"ASSnone_HCR8_REClowmed_INNvar_OERnone";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";319206.547793722;345196.449834262;470214.17127523;676666.4599301;745731.058780278;493406.741780212;517676.608175198;65839.4851779094;1.07838248465661;0.0826;0;0.235;0;0.162;0;0.413;0.3965;2024;0;0;2021;0;0;0;0.0536286692718818;0.0791387155475756;0.107717523186544;23443.2717280503;40000;40000;36511.7149037405;4191.50178892889;3269.81719532218;1.06544700144137
"initial";"ASSnone_HCR8_RECmix_INNvar_OERnone";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";260858.288909747;278821.82218053;422731.339000553;645731.9374433;721562.020221124;445685.28799535;472901.169357538;55674.0633862601;1.0547770029416;0.2738;8e-04;0.372;0.002;0.319;0.002;1.369;1.34;NA;0.004;0.004;2021;0;0;0;0.0536460013378421;0.0799471921503339;0.111551032467654;17450.5496750158;39665.4748692418;40000;33684.2246487784;4356.05857983624;3522.64858132435;1.02951663344183
"initial";"ASSnone_HCR9_REClow_INNvar_OERnone";"ASSnone";"HCR9";"REClow";"INNvar";"OERnone";248035.64496841;264436.539885128;327255.32806726;409443.848089871;438162.658647676;333334.941309705;307768.87311916;33238.3352437322;0.975435583998239;0.5696;0.001;0.886;0.003;0.692;0.002;2.848;2.673;NA;0.005;0.005;2021;0;0;0;0.0589989566497423;0.0905421545620273;0.128935358167803;16137.254360787;28779.8431858172;45000;29755.3061490688;6927.53148729944;6273.95666888207;0.976206845297906
"initial";"ASSnone_HCR9_REClowmed_INNvar_OERnone";"ASSnone";"HCR9";"REClowmed";"INNvar";"OERnone";318009.356442116;344913.090466064;467272.412787686;672848.057426123;741009.325681063;490789.82669726;512839.417279404;65958.7323725101;1.07575207971594;0.085;0;0.242;0;0.162;0;0.425;0.4065;2024;0;0;2021;0;0;0;0.0567266263998995;0.0854311485701967;0.1158425142412;23416.8783590788;45000;45000;39334.996986584;6044.75404769624;4794.95413107889;1.09288441312482
"initial";"ASSnone_HCR9_RECmix_INNvar_OERnone";"ASSnone";"HCR9";"RECmix";"INNvar";"OERnone";260790.896211141;278305.571108755;420972.535982255;640350.655831205;717696.038557545;443549.213780005;466919.680831356;55740.3930191904;1.05265585060954;0.2756;0.001;0.378;0.003;0.319;0.002;1.378;1.349;NA;0.005;0.005;2021;0;0;0;0.0564898002745698;0.0846922373072374;0.118909310376066;17432.0224409798;39416.3664853537;45000;35869.7871144348;5813.08054613552;4726.74197490142;1.04850524403396
"initial";"ASSss3_HCR10_REClow_INNvar_OERnaq";"ASSss3";"HCR10";"REClow";"INNvar";"OERnaq";237812.289240973;254983.531531429;324163.80382564;414721.244332177;452634.970221208;331754.955945221;300060.816067214;34812.3451792644;0.965881348107083;0.5872;0.0026;0.901;0.01;0.74;0.006;2.936;2.7485;NA;0.013;0.013;2021;0;0;0;0.0540230479271676;0.105792938372695;0.168867349846569;16420.4098668577;32855.0828250131;50000;33826.1388912805;7004.60536657696;6476.86869640832;1.02676990013977
"initial";"ASSss3_HCR10_REClowmed_INNvar_OERnaq";"ASSss3";"HCR10";"REClowmed";"INNvar";"OERnaq";311095.677432018;339226.940016599;467474.596208455;662266.787514286;740816.164072512;487240.879228412;506030.504087562;64497.7898073145;1.06783587401435;0.0956;0.001;0.256;0.003;0.175;0.002;0.478;0.465;2025;0.005;0.005;2021;0;0;0;0.0515259440961063;0.0928591283332561;0.135862260239297;20539.3158386084;50000;50000;42197.1188049155;6871.2255725342;5296.94124543843;1.12969985543909
"initial";"ASSss3_HCR10_RECmix_INNvar_OERnaq";"ASSss3";"HCR10";"RECmix";"INNvar";"OERnaq";252874.679537445;271039.234735752;420903.076170916;634471.313487564;722369.415617129;440138.437496601;449994.55143197;53735.6424832851;1.04039990593942;0.2912;0.001;0.388;0.004;0.319;0.003;1.456;1.426;NA;0.005;0.005;2021;0;0;0;0.0532580952881608;0.0940968577255892;0.151568103052207;18228.1941167792;43476.2616686663;50000;39222.1461901352;6366.76261129889;5188.41006650629;1.09035329330099
"initial";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";277584.824843471;294244.38998157;362953.64081126;457824.50583951;493921.471593146;370680.930179183;362840.790365737;29219.3630581801;1.00981352408135;0.3404;4e-04;0.593;0.002;0.374;0.002;1.702;1.5835;NA;0.002;0.002;2021;0.833;0.999;4.165;0;0;0;0;1e-06;1e-06;8.004e-07;3.23900946575706e-07;3.195e-07;1
"initial";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";332889.100651877;364559.142165598;512042.650389246;734892.183680617;823170.503902964;533828.845702083;586015.841384122;68205.9791735895;1.10624646374887;0.057;4e-04;0.188;0.002;0.177;0.002;0.285;0.2825;2023;0.002;0.002;2021;0.8176;1;4.088;0;0;0;0;1e-06;1e-06;8.038e-07;3.22077067913274e-07;3.195e-07;1
"initial";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";284478.341457964;303386.30854094;474931.124181105;709940.670686702;798666.636974061;493403.138946153;545292.22977123;59669.5202092963;1.09210525711;0.1936;0;0.331;0;0.322;0;0.968;0.9545;NA;0;0;2021;0.8124;1;4.062;0;0;0;0;1e-06;1e-06;8.056e-07;3.19775515254201e-07;3.2e-07;1
