"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"q025";"q50";"q975";"Mean";"Median_Last_Yr";"Risk1_med";"Risk2_med";"Risk3_med";"Risk1_low";"Risk2_low";"Risk3_low";"Risk1_meanR_low";"Risk1_Q975_low";"Risk1_meanR_med";"Risk1_Q975_med";"Mean_above_rec2019"
"initial";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";2980596.55535567;6827605.8962464;15818363.1691086;7508135.43720883;6930795.87649738;0.3404;0.593;0.374;4e-04;0.002;0.002;0.4786;0.0238;0.0872;0;0.017
"initial";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";4308191.51877354;12044445.0925748;34792346.468205;13875735.5689719;12079012.1655609;0.057;0.188;0.177;4e-04;0.002;0.002;0.853;0.2914;0.4786;0.0266;0.2616
"initial";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";3758488.46539426;10795204.4370376;33257301.5934056;12713399.2119831;11221112.544328;0.1936;0.331;0.322;0;0;0;0.7834;0.245;0.4064;0.0202;0.218
"short";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";3045985.82988154;6939090.60706906;15713656.7142996;7565513.11769771;7117360.06325011;0.3278;0.776;0.374;2e-04;0.002;0.002;0.4908;0.0223;0.0846;0;0.0174
"short";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";4390755.82838029;12207077.0844844;34270345.9749688;13979990.894921;12371279.9224206;0.0291;0.188;0.177;2e-04;0.002;0.002;0.8574;0.2969;0.4895;0.0249;0.2671
"short";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";3939730.12253653;11403538.3335968;33356179.6563996;13239744.9690722;12238470.5667989;0.1234;0.331;0.322;0;0;0;0.8146;0.2669;0.4413;0.0211;0.2386
"med";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";3128420.49314667;7018409.26619359;16103774.1622103;7714143.26789986;7044556.66571421;0.2958;0.733;0.314;0;0;0;0.5034;0.0258;0.0989;1e-04;0.0202
"med";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";4439804.90554815;12441415.3257803;34448660.2872387;14315549.6007915;12142048.2239818;1e-04;0.001;0.001;0;0;0;0.8635;0.3149;0.506;0.0256;0.2868
"med";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";4439804.90554815;12403046.2761844;34573512.7090491;14321109.3843742;12344735.882036;0.0014;0.003;0.002;0;0;0;0.8628;0.3135;0.5039;0.0258;0.2865
"last";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";3033536.58374031;7024636.91425421;16031020.2656211;7642671.14080489;7038986.87053608;0.2888;0.736;0.311;0;0;0;0.5043;0.0251;0.086;0;0.017
"last";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";4408284.50471334;12442503.3530119;33809043.4688489;14205465.7067639;12166804.4305542;0;0;0;0;0;0;0.8659;0.3158;0.5058;0.024;0.2892
"last";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";4378995.94569677;12398956.5967048;33382368.7628099;14103220.138338;12382462.8611529;0;0;0;0;0;0;0.8643;0.3125;0.5035;0.0225;0.2859
"all";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";3064980.07586556;7013114.66636958;15964700.9949159;7646424.40268177;7038986.87053608;0.29466;0.997;0.374;4e-05;0.002;0.002;0.50288;0.0245;0.08896;2e-05;0.01852
"all";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";4432105.1418373;12392470.8698218;34205568.5035556;14171239.2088879;12166804.4305542;0.00586;0.19;0.177;4e-05;0.002;0.002;0.86258;0.3109;0.50266;0.02458;0.28232
"all";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";4298074.54468863;12197984.3456529;33817965.6001866;13982542.9186176;12382462.8611529;0.02768;0.333;0.322;0;0;0;0.85336;0.3032;0.49096;0.02326;0.27494
