period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
initial,ASSnone_HCR0_REClow_INNvar_OERnone,ASSnone,HCR0,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7665206.794,6930795.876,0.489,0.879,0.588,0,0,0,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR0_REClowmed_INNvar_OERnone,ASSnone,HCR0,REClowmed,INNvar,OERnone,4359591.355,12228567.54,34805009.84,14122341.17,12201380.47,0.0686,0.233,0.162,0,0,0,0.8588,0.3082,0.4944,0.026,0.2764
initial,ASSnone_HCR0_RECmix_INNvar_OERnone,ASSnone,HCR0,RECmix,INNvar,OERnone,3771906.738,10790781.8,33184273.31,12766037.95,11200743.34,0.219,0.375,0.319,0,0,0,0.7854,0.248,0.41,0.0206,0.2232
initial,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664955.685,6930795.876,0.5718,0.888,0.695,0.001,0.003,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,4347090.506,12165080.48,34764150.4,14085665.41,12196069.7,0.0858,0.244,0.162,0,0,0,0.857,0.3052,0.492,0.0258,0.2748
initial,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,3669095.814,10475797.34,32412292.77,12393612.09,10665557.39,0.2756,0.378,0.319,0.001,0.003,0.002,0.7632,0.234,0.389,0.0186,0.2098
initial,ASSnone_HCR11_REClow_INNvar_OERnone,ASSnone,HCR11,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7665200.462,6930795.876,0.4204,0.734,0.47,2.00E-04,0.001,0.001,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR11_REClowmed_INNvar_OERnone,ASSnone,HCR11,REClowmed,INNvar,OERnone,4349550.711,12228567.54,34911667.19,14130490.2,12210575.13,0.0594,0.188,0.162,0,0,0,0.8594,0.3084,0.4944,0.0264,0.277
initial,ASSnone_HCR11_RECmix_INNvar_OERnone,ASSnone,HCR11,RECmix,INNvar,OERnone,3788243.193,10751276.15,33123983.98,12737211.7,11200743.34,0.224,0.341,0.319,2.00E-04,0.001,0.001,0.7806,0.2476,0.409,0.0202,0.2218
initial,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664979.212,6930795.876,0.557,0.872,0.675,8.00E-04,0.002,0.002,0.5008,0.0268,0.0922,0,0.0226
