"scenario";"Ass";"Rule";"Rec";"INN";"OER";"year";"stock";"rec_q95";"ssb_q95";"f_q95";"biomass_q95";"catch_q95";"landings_q95";"discards_q95";"catch.iyv_q95";"land.iyv_q95";"disc.iyv_q95";"rec_q50";"ssb_q50";"f_q50";"biomass_q50";"catch_q50";"landings_q50";"discards_q50";"catch.iyv_q50";"land.iyv_q50";"disc.iyv_q50";"rec_q05";"ssb_q05";"f_q05";"biomass_q05";"catch_q05";"landings_q05";"discards_q05";"catch.iyv_q05";"land.iyv_q05";"disc.iyv_q05";"pBlim_q95";"pBlim_q50";"pBlim_q05";"pBpa_q95";"pBpa_q50";"pBpa_q05";"pBtarget_q95";"pBtarget_q50";"pBtarget_q05";"pFlim_q95";"pFlim_q50";"pFlim_q05";"pFpa_q95";"pFpa_q50";"pFpa_q05";"pFtarget_q95";"pFtarget_q50";"pFtarget_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2020;"PIL";14588394.2357506;425929.307846302;0.0734260505723108;426967.628316344;19106;19106;0;1.38861792390848;1.38861792390848;NA;7047430.99367849;345546.621481903;0.0625447340112427;346421.380214675;19106;19106;0;1.38861792390848;1.38861792390848;NA;3460082.86117786;289594.730375808;0.0521942327139874;290421.18478947;19106;19106;0;1.38861792390848;1.38861792390848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5151166566153;0.440989174776993;0.369827614543149;19106;19106;19106
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2021;"PIL";14166559.4277711;455337.923346113;0.143001861868308;455337.923346113;52201.7697542169;52201.7697542169;0;2.73221866189767;2.73221866189767;NA;7013846.42767822;351916.053072019;0;351916.053072019;1e-06;1e-06;0;5.23395791897833e-11;5.23395791897833e-11;NA;3386197.84026637;284679.771469872;0;284679.771469872;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.97170755259577;2.67237660077349e-11;0;52201.7697542169;1e-06;1.48313223760443e-28
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2022;"PIL";13992038.8227769;453370.356705768;0.17711510195671;453370.356705768;63872.6918011157;63872.6918011157;0;Inf;Inf;NA;6967579.63964541;349703.2996752;0.0824683210189283;349703.2996752;29558.0423282458;29558.0423282458;0;1;1;NA;3492724.05088038;281803.439331705;0;281803.439331705;1e-06;1e-06;0;1.94078914972567e-11;1.94078914972567e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.18499747555614;0.57615886520122;1.72315748630602e-11;63872.6918011157;29558.0423282458;1e-06
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2023;"PIL";15146361.1290804;432551.174272446;0.135709799559455;432551.174272446;52065.769277597;52065.769277597;0;45742985100.9315;45742985100.9315;NA;6962799.7513078;335612.91618732;0;335612.91618732;1e-06;1e-06;0;1;1;NA;3398728.79450618;264571.269867836;0;264571.269867836;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.925188899824778;2.46706465755459e-11;0;52065.769277597;1e-06;1.41893784219165e-28
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2024;"PIL";14479301.9740604;439291.725097599;0.140100861751576;439291.725097599;52973.7640647222;52973.7640647222;0;Inf;Inf;NA;7012735.53244356;331481.627655535;0.0907953978640843;331481.627655535;30853.3565062888;30853.3565062888;0;1;1;NA;3394584.79298581;267129.584900353;0;267129.584900353;0;0;0;2.44862297745829e-11;2.44862297745829e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.953226318299273;0.631890471141692;0;52973.7640647222;30853.3565062888;2.18353411899357e-28
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2025;"PIL";13855782.5864422;431511.712347204;0.136612381501261;431511.712347204;51203.8179562472;51203.8179562472;0;41980729865.7826;41980729865.7826;NA;6930795.87649738;324937.732251645;0;324937.732251645;1e-06;1e-06;0;1;1;NA;3387499.4367581;263973.301219652;0;263973.301219652;0;0;0;1.94910581499679e-11;1.94910581499679e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.930974878668957;2.71545895968666e-11;0;51203.8179562472;1e-06;1.12303374592585e-28
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2026;"PIL";13346867.784676;420999.171812325;0.121607129082752;420999.171812325;44441.3469563341;44441.3469563341;0;49172835008.067;49172835008.067;NA;7050653.76350964;325207.123755797;0;325207.123755797;1e-06;1e-06;0;1;1;NA;3628934.36506404;257184.970953935;0;257184.970953935;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.834456604475418;2.54083400119203e-11;0;44441.3469563341;1e-06;9.49008955096204e-29
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2027;"PIL";14272956.4043288;424765.515280026;0.121107346638638;424765.515280026;45118.4116298067;45118.4116298067;0;58167178204.605;58167178204.605;NA;6985005.44314574;326899.935628644;0;326899.935628644;1e-06;1e-06;0;1;1;NA;3583341.45746348;256149.768556285;0;256149.768556285;0;0;0;2.32056505602745e-11;2.32056505602745e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.831215740602181;2.53644258994442e-11;0;45118.4116298067;1e-06;1.08911380235648e-28
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2028;"PIL";13547963.409425;423822.791411346;0.118340536345369;423822.791411346;43918.6910899689;43918.6910899689;0;41465510038.528;41465510038.528;NA;6906369.86495651;326537.786746207;0;326537.786746207;1e-06;1e-06;0;1;1;NA;3557903.01533222;259653.44467954;0;259653.44467954;0;0;0;2.42997425540129e-11;2.42997425540129e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.813248476720632;2.53450814877596e-11;0;43918.6910899689;1e-06;9.54433253512854e-29
"ASSnone_HCR0_REClow_INNvar_OERnone";"ASSnone";"HCR0";"REClow";"INNvar";"OERnone";2029;"PIL";14727109.469819;420960.44490588;0.120424795068299;420960.44490588;44079.0457571266;44079.0457571266;0;47136994359.9388;47136994359.9388;NA;7075210.78964909;326945.447491687;0;326945.447491687;1e-06;1e-06;0;1;1;NA;3324906.38731183;261248.69971265;0;261248.69971265;0;0;0;2.46704084629927e-11;2.46704084629927e-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.82678737045304;2.53930280392451e-11;0;44079.0457571266;1e-06;9.7796727556343e-29
