"Rec";"REClow";"REClow";"REClowmed";"REClowmed";"RECmix";"RECmix"
"Rule";"HCR0";"HCR11";"HCR0";"HCR11";"HCR0";"HCR11"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"339";"348";"467";"496";"431";"450"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"333";"344";"489";"549";"458";"510"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"328";"338";"514";"619";"506";"618"
"round(Median_F[period == \"initial\"], 3)";"0.000";"0.033";"0.106";"0.031";"0.096";"0.032"
"round(Median_F[period == \"short\"], 3)";"0.000";"0.032";"0.112";"0.031";"0.106";"0.031"
"round(Median_F[period == \"last\"], 3)";"0.000";"0.032";"0.116";"0.032";"0.115";"0.032"
"round(Median_Catch[period == \"initial\"]/1000, 0)";" 0";"12";"48";"15";"42";"14"
"round(Median_Catch[period == \"short\"]/1000, 0)";" 0";"11";"54";"17";"48";"16"
"round(Median_Catch[period == \"last\"]/1000, 0)";" 0";"11";"57";"19";"56";"19"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"17";" 2";"20";" 3";"16";" 3"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"15";" 1";"15";" 3";"13";" 2"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"12";" 1";"11";" 2";"10";" 2"
"round(closure[period == \"initial\"] * 100, 0)";"42";" 0";"15";" 0";"24";" 0"
"round(closure[period == \"short\"] * 100, 0)";"46";" 0";" 9";" 0";"18";" 0"
"round(closure[period == \"last\"] * 100, 0)";"51";" 0";" 3";" 0";" 6";" 0"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;NA;"2024";"2023";NA;"2032"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"59";"51";" 4";" 0";" 8";" 0"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0"
