"Rec";"REClow";"REClow";"REClowmed";"REClowmed";"RECmix";"RECmix"
"Rule";"HCR0";"HCR11";"HCR0";"HCR11";"HCR0";"HCR11"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"330";"347";"464";"493";"426";"453"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"316";"341";"482";"545";"441";"505"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"278";"329";"507";"620";"477";"618"
"round(Median_F[period == \"initial\"], 3)";"0.110";"0.035";"0.108";"0.031";"0.106";"0.032"
"round(Median_F[period == \"short\"], 3)";"0.107";"0.035";"0.113";"0.031";"0.111";"0.032"
"round(Median_F[period == \"last\"], 3)";"0.143";"0.043";"0.124";"0.033";"0.125";"0.033"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"35";"12";"51";"15";"44";"14"
"round(Median_Catch[period == \"short\"]/1000, 0)";"33";"12";"54";"17";"49";"15"
"round(Median_Catch[period == \"last\"]/1000, 0)";"37";"14";"60";"20";"57";"20"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"15";" 1";"15";" 2";"14";" 2"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"15";" 1";"13";" 2";"13";" 2"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"15";" 2";"11";" 3";"12";" 3"
"round(closure[period == \"initial\"] * 100, 0)";"26";" 0";"12";" 0";"18";" 0"
"round(closure[period == \"short\"] * 100, 0)";"29";" 0";" 7";" 0";"14";" 0"
"round(closure[period == \"last\"] * 100, 0)";"18";" 0";" 2";" 0";" 6";" 0"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;NA;"2029";"2023";NA;"2034"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"86";"57";" 6";" 0";"21";" 1"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"6";"0";"0";"0";"1";"0"
