"Rec";"REClow";"REClowmed";"RECmix"
"Rule";"HCR7";"HCR7";"HCR7"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"362";"514";"469"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"364";"582";"546"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"367";"673";"673"
"round(Median_F[period == \"initial\"], 3)";"0";"0";"0"
"round(Median_F[period == \"short\"], 3)";"0";"0";"0"
"round(Median_F[period == \"last\"], 3)";"0";"0";"0"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0"
"round(Median_Catch[period == \"short\"]/1000, 0)";"0";"0";"0"
"round(Median_Catch[period == \"last\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"0";"0";"0"
"round(closure[period == \"initial\"] * 100, 0)";"82";"80";"80"
"round(closure[period == \"short\"] * 100, 0)";"82";"80";"80"
"round(closure[period == \"last\"] * 100, 0)";"82";"79";"79"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;"2022";"2028"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"32";" 0";" 0"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0"
