"Rec";"REClow";"REClow";"REClow";"REClowmed";"REClowmed";"REClowmed";"RECmix";"RECmix";"RECmix"
"Rule";"HCR10";"HCR8";"HCR9";"HCR10";"HCR8";"HCR9";"HCR10";"HCR8";"HCR9"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"327";"328";"327";"465";"470";"467";"420";"423";"421"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"315";"317";"316";"498";"509";"503";"451";"460";"455"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"302";"303";"302";"542";"565";"553";"527";"555";"540"
"round(Median_F[period == \"initial\"], 3)";"0.091";"0.090";"0.091";"0.091";"0.079";"0.085";"0.088";"0.080";"0.085"
"round(Median_F[period == \"short\"], 3)";"0.083";"0.083";"0.083";"0.091";"0.076";"0.084";"0.087";"0.076";"0.082"
"round(Median_F[period == \"last\"], 3)";"0.076";"0.076";"0.076";"0.091";"0.072";"0.082";"0.089";"0.072";"0.081"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"29";"29";"29";"46";"40";"45";"39";"40";"39"
"round(Median_Catch[period == \"short\"]/1000, 0)";"25";"26";"26";"50";"40";"45";"46";"40";"45"
"round(Median_Catch[period == \"last\"]/1000, 0)";"22";"22";"22";"50";"40";"45";"50";"40";"45"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"7";"5";"6";"6";"3";"5";"6";"4";"5"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"6";"5";"6";"4";"2";"3";"4";"3";"3"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"5";"5";"5";"2";"1";"1";"3";"1";"2"
"round(closure[period == \"initial\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"short\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;NA;NA;"2024";"2024";"2024";NA;NA;NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"76";"75";"76";" 3";" 2";" 2";"10";" 7";" 9"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"1";"1";"1";"0";"0";"0";"0";"0";"0"
