"Rec";"REClow";"REClow";"REClow";"REClowmed";"REClowmed";"REClowmed";"RECmix";"RECmix";"RECmix"
"Rule";"HCR10";"HCR8";"HCR9";"HCR10";"HCR8";"HCR9";"HCR10";"HCR8";"HCR9"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"324";"326";"325";"467";"468";"464";"421";"425";"421"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"307";"311";"308";"496";"502";"496";"444";"455";"447"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"271";"276";"273";"542";"568";"559";"510";"551";"534"
"round(Median_F[period == \"initial\"], 3)";"0.106";"0.100";"0.104";"0.093";"0.080";"0.087";"0.094";"0.082";"0.089"
"round(Median_F[period == \"short\"], 3)";"0.103";"0.100";"0.102";"0.093";"0.077";"0.085";"0.094";"0.080";"0.087"
"round(Median_F[period == \"last\"], 3)";"0.137";"0.128";"0.135";"0.093";"0.072";"0.082";"0.095";"0.074";"0.084"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"33";"33";"33";"50";"40";"45";"43";"40";"43"
"round(Median_Catch[period == \"short\"]/1000, 0)";"30";"31";"30";"50";"40";"45";"49";"40";"45"
"round(Median_Catch[period == \"last\"]/1000, 0)";"35";"37";"36";"50";"40";"45";"50";"40";"45"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"6";"4";"6";"5";"3";"4";"5";"3";"4"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"7";"5";"6";"4";"2";"3";"4";"3";"4"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"7";"4";"6";"2";"0";"1";"2";"1";"1"
"round(closure[period == \"initial\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"short\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;NA;NA;"2025";"2025";"2025";NA;NA;NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"87";"85";"86";" 4";" 2";" 3";"18";" 9";"14"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"7";"6";"6";"0";"0";"0";"1";"1";"1"
