Rec,REClow,REClow,REClow,REClow,REClow,REClowmed,REClowmed,REClowmed,REClowmed,REClowmed,RECmix,RECmix,RECmix,RECmix,RECmix
Rule,HCR10,HCR13,HCR14,HCR8,HCR9,HCR10,HCR13,HCR14,HCR8,HCR9,HCR10,HCR13,HCR14,HCR8,HCR9
round(Median_B1plus[period == \initial\"]/1000,327,330,332,328,327,465,473,478,470,467,420,426,431,423,421
round(Median_B1plus[period == \short\"]/1000,315,318,321,317,316,498,516,524,509,503,451,467,475,460,455
round(Median_B1plus[period == \med\"]/1000,303,304,305,304,303,543,578,592,566,553,524,566,581,550,536
round(Median_B1plus[period == \last\"]/1000,302,303,305,303,302,542,578,591,565,553,527,570,586,555,540
round(Median_F[period == \initial\"],0.091,0.087,0.082,0.09,0.091,0.091,0.072,0.063,0.079,0.085,0.088,0.074,0.067,0.08,0.085
round(Median_F[period == \short\"],0.083,0.083,0.079,0.083,0.083,0.091,0.068,0.058,0.076,0.084,0.087,0.069,0.061,0.076,0.082
round(Median_F[period == \med\"],0.077,0.076,0.075,0.077,0.077,0.091,0.062,0.052,0.072,0.082,0.089,0.062,0.052,0.072,0.081
round(Median_F[period == \last\"],0.076,0.076,0.075,0.076,0.076,0.091,0.062,0.052,0.072,0.082,0.089,0.062,0.052,0.072,0.081
round(Median_Catch[period == \initial\"]/1000,29,29,30,29,29,46,35,30,40,45,39,35,30,40,39
round(Median_Catch[period == \short\"]/1000,25,26,26,26,26,50,35,30,40,45,46,35,30,40,45
round(Median_Catch[period == \med\"]/1000,22,22,23,22,22,50,35,30,40,45,50,35,30,40,45
round(Median_Catch[period == \last\"]/1000,22,22,23,22,22,50,35,30,40,45,50,35,30,40,45
round(IAV1_Catch[period == \initial\"]/1000,7,4,3,5,6,6,2,1,3,5,6,2,2,4,5
round(IAV1_Catch[period == \short\"]/1000,6,4,3,5,6,4,1,0,2,3,4,2,1,3,3
round(IAV1_Catch[period == \med\"]/1000,5,4,4,5,5,2,0,0,1,1,3,1,0,1,2
round(IAV1_Catch[period == \last\"]/1000,5,4,3,5,5,2,0,0,1,1,3,0,0,1,2
round(closure[period == \initial\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \short\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \med\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(closure[period == \last\"] * 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round(firstyear_B1plus_Blim[period == \all\"],NA,NA,NA,NA,NA,2024,2024,2024,2024,2024,NA,2054,2048,NA,NA
round(firstyear_B1plus_Blow[period == \all\"],2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
round(avg_P_B1plus_Blim[period == \initial\"] * 100,57.2,55.7,53.8,56.6,57,8.6,7.9,7.7,8.3,8.5,27.6,27.1,26.4,27.4,27.6
round(avg_P_B1plus_Blim[period == \short\"] * 100,64.9,63.2,61.4,64.2,64.6,6,5,4.7,5.4,5.7,24.1,22.7,21.8,23.3,23.7
round(avg_P_B1plus_Blim[period == \med\"] * 100,72.9,71.8,70.5,72.4,72.7,2.5,1.2,0.8,1.6,2.1,11,6.6,5.4,8.3,9.6
round(avg_P_B1plus_Blim[period == \last\"] * 100,73.5,72.3,71.1,73,73.3,2.2,1,0.6,1.4,1.8,9,4.9,2.9,6.1,7.8
round(avg_P_B1plus_Blow[period == \initial\"] * 100,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
round(avg_P_B1plus_Blow[period == \short\"] * 100,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
round(avg_P_B1plus_Blow[period == \med\"] * 100,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.1,0,0,0,0
round(avg_P_B1plus_Blow[period == \last\"] * 100,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0
round(max_P_B1plus_Blim[period == \initial\"] * 100,69.5,67.5,65.5,68.5,69.2,16.2,16.2,16.2,16.2,16.2,31.9,31.9,31.9,31.9,31.9
round(max_P_B1plus_Blim[period == \short\"] * 100,75,73.3,70.6,74.2,74.9,16.2,16.2,16.2,16.2,16.2,31.9,31.9,31.9,31.9,31.9
round(max_P_B1plus_Blim[period == \med\"] * 100,74.9,73.7,72.1,74.4,74.7,3,1.4,1.3,2.1,2.6,12.1,7.2,6.1,9.2,10.4
round(max_P_B1plus_Blim[period == \last\"] * 100,76.2,74.6,73.3,75.4,76.1,2.8,1.6,0.9,1.8,2.3,10.1,5.4,3.2,6.6,8.7
round(max_P_B1plus_Blow[period == \initial\"] * 100,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
round(max_P_B1plus_Blow[period == \short\"] * 100,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
round(max_P_B1plus_Blow[period == \med\"] * 100,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
round(max_P_B1plus_Blow[period == \last\"] * 100,0.6,0.6,0.4,0.6,0.6,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1
