"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Fscan";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;280908.22443784;296075.884991696;357621.908733782;443016.938518399;472747.655364155;364420.750095298;357016.839749753;29333.6858352818;1.01091068341691;0.3536;0;0.65;0;0.385;0;1.768;1.6265;NA;0;0;2021;0;0;0;0.00839264798120045;0.0104175355035681;0.0151521455430447;2847.60725206191;3759.96410680306;5506.14389241487;3909.25692241766;609.881001120965;578.969923317141;1.00451600214548
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.02";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.02;276289.719268843;291806.715800909;353282.962757221;437937.451591542;467018.153691526;359996.437388519;350008.90594482;29574.4015811388;1.0058615815493;0.3846;0;0.694;0;0.406;0;1.923;1.7705;NA;0;0;2021;0;0;0;0.0167537341426668;0.0208450718475219;0.0303908787288666;5583.61066847901;7399.23783166799;10865.5920849435;7694.78014492022;1222.23899298354;1150.78262366289;0.999696905902566
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.03";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.03;272127.938210962;287257.218118478;349045.451364672;433274.177197975;462209.177635616;355673.401023075;343042.439495157;29893.8733320061;1.00090468521101;0.4148;2e-04;0.727;0.001;0.458;0.001;2.074;1.9185;NA;0.001;0.001;2021;0;0;0;0.025092184253573;0.0312959033759376;0.0457964896565592;8208.66340811216;10894.3186574814;16119.2240045105;11360.1459097475;1840.32149324066;1716.46942730379;0.99496922295941
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.04";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.04;267509.513427098;282662.110097882;345037.285116583;428023.201521894;458029.850963098;351449.26114716;336087.726352408;30285.2668327621;0.996040658827496;0.4428;2e-04;0.763;0.001;0.512;0.001;2.214;2.041;NA;0.001;0.001;2021;0;0;0;0.0333408621688046;0.0417769608240365;0.0612323860074738;10751.0258245377;14289.0297827032;21298.8830113326;14909.3569523354;2466.84870949188;2277.31365986929;0.990334126709023
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.05";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.05;262920.199706434;278137.483641981;341091.464003176;423564.144646183;453744.018133583;347321.363938541;329313.597161741;30753.1478458821;0.991268624951549;0.4734;4e-04;0.793;0.001;0.552;0.001;2.367;2.1905;NA;0.002;0.002;2021;0;0;0;0.0416725416340526;0.0522910205766026;0.0767749260293484;13143.446186262;17554.1463021801;26349.2707087769;18346.4753263864;3104.09556047037;2833.7991476184;0.985791845174299
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.06";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.06;257991.85767451;273869.640824758;337195.676705941;420650.388367399;449371.504870513;343287.1614187;322943.613242269;31282.343742988;0.986588237207182;0.5022;6e-04;0.819;0.002;0.602;0.002;2.511;2.3285;NA;0.003;0.003;2021;0;0;0;0.0498741171072322;0.0628367468275126;0.0923601587365382;15435.7748807386;20724.651528575;31286.4502504508;21675.5060800794;3753.94242687436;3385.98291053027;0.981342212372444
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.07";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.07;253417.733532458;269431.286614608;333179.645106038;417426.657477068;445811.042184463;339343.884794977;316296.450830541;31860.7422865242;0.981998385950553;0.5284;0.001;0.852;0.002;0.638;0.002;2.642;2.4725;NA;0.005;0.005;2021;0;0;0;0.0581006444097949;0.0733835304066679;0.108299173191823;17615.8807823695;23791.779716009;36165.754440652;24900.3416591678;4417.92086727461;3934.51404421462;0.976983955530424
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.08";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.08;248441.265575624;264443.422033117;329554.398321708;413454.379394709;442116.644681344;335487.806746478;310189.876466886;32480.506171042;0.977493993861611;0.5524;0.0014;0.868;0.004;0.671;0.003;2.762;2.5965;NA;0.007;0.007;2021;0;0;0;0.0662734017599571;0.0839844440306141;0.124439128974661;19698.2432363428;26773.2970582049;40915.4102916599;28024.7129594254;5097.25442490921;4480.9379706815;0.972712896189106
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.09";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.09;243720.308663469;260123.711295516;326156.819789795;409933.005584123;438032.802896354;331716.992973376;304468.195095603;33133.9082853301;0.973076000327251;0.5734;0.0022;0.877;0.008;0.691;0.004;2.867;2.7015;NA;0.011;0.011;2021;0;0;0;0.0744070684780817;0.0946342201971776;0.140691437298608;21628.7467525813;29597.4908275653;45663.0744504983;31052.2753059106;5792.81305656274;5026.15711156601;0.968530157501694
"initial";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.1";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.1;238688.917189201;255533.560202032;322736.966061368;406462.542694143;433774.162707272;328028.06623074;299027.193069531;33808.4788831594;0.968740473883836;0.5962;0.0024;0.895;0.009;0.734;0.005;2.981;2.8105;NA;0.012;0.012;2021;0;0;0;0.0825562657808388;0.105274552072053;0.157050510039954;23491.3493409373;32362.3022728863;50320.1388366356;33986.4843441531;6505.22469748335;5570.43855191;0.964431686704325
