"","year","pblim","pblow","pzero","paboveFmsy","Ass","Rule","Rec","INN","OER"
"1",2020,0.579,1,0,0.003,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"2",2021,0.611,0.999,0,0.579,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"3",2022,0.51,0.999,0,0.669,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"4",2023,0.377,0.999,0,0.621,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"5",2024,0.306,0.996,0,0.668,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"6",2025,0.26,0.994,0,0.648,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"7",2026,0.224,0.988,0,0.548,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"8",2027,0.204,0.981,0,0.548,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"9",2028,0.197,0.982,0,0.591,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"10",2029,0.199,0.988,0,0.617,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"11",2030,0.198,0.978,0,0.615,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"12",2031,0.185,0.979,0,0.62,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"13",2032,0.19,0.985,0,0.641,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"14",2033,0.192,0.982,0,0.631,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"15",2034,0.196,0.979,0,0.665,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"16",2035,0.202,0.985,0,0.649,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"17",2036,0.215,0.973,0,0.647,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"18",2037,0.193,0.977,0,0.684,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"19",2038,0.182,0.973,0,0.71,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"20",2039,0.178,0.974,0,0.674,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"21",2040,0.179,0.984,0,0.712,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"22",2041,0.145,0.966,0,0.744,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"23",2042,0.157,0.962,0,0.719,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"24",2043,0.163,0.966,0,0.738,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"25",2044,0.152,0.965,0,0.762,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"26",2045,0.159,0.949,0,0.769,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"27",2046,0.161,0.959,0,0.773,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"28",2047,0.175,0.968,0,0.792,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"29",2048,0.175,0.958,0,0.771,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"30",2049,0.167,0.955,0,0.795,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"31",2050,0.149,0.954,0,0.796,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"32",2051,0.171,0.955,0,0.793,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"33",2052,0.177,0.961,0,0.822,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"34",2053,0.159,0.945,0,0.818,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"35",2054,0.158,0.958,0,0.795,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"36",2055,0.141,0.941,0,0.814,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"37",2056,0.141,0.933,0,0.837,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"38",2057,0.137,0.94,0,0.815,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"39",2058,0.154,0.941,0,0.838,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"40",2059,0.169,0.934,0,0.832,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"41",2060,0.15,0.923,0,0.824,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"42",2061,0.143,0.929,0,0.848,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"43",2062,0.149,0.934,0,0.857,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"44",2063,0.155,0.944,0,0.828,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"45",2064,0.154,0.944,0,0.836,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"46",2065,0.164,0.941,0,0.861,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"47",2066,0.133,0.945,0,0.849,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"48",2067,0.13,0.96,0,0.871,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"49",2068,0.149,0.956,0,0.894,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"50",2069,0.137,0.948,0,0.872,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"51",2070,0.127,0.946,0,0.885,"ASSss3","HCR10","REClow","INNvar","OERnaq"
"52",2020,0.592,1,0,0.003,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"53",2021,0.825,0.998,0,0.441,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"54",2022,0.883,0.999,0,0.491,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"55",2023,0.913,0.999,0,0.515,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"56",2024,0.945,1,0,0.562,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"57",2025,0.956,0.999,0,0.566,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"58",2026,0.951,0.999,0,0.514,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"59",2027,0.956,0.999,0,0.511,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"60",2028,0.961,1,0,0.489,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"61",2029,0.967,1,0,0.522,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"62",2030,0.953,1,0,0.503,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"63",2031,0.972,0.999,0,0.476,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"64",2032,0.976,1,0,0.499,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"65",2033,0.974,1,0,0.497,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"66",2034,0.976,1,0,0.448,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"67",2035,0.981,1,0,0.463,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"68",2036,0.98,1,0,0.487,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"69",2037,0.974,1,0,0.502,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"70",2038,0.967,1,0,0.499,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"71",2039,0.974,1,0,0.46,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"72",2040,0.977,1,0,0.482,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"73",2041,0.965,1,0,0.5,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"74",2042,0.971,1,0,0.521,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"75",2043,0.978,1,0,0.509,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"76",2044,0.974,1,0,0.497,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"77",2045,0.969,1,0,0.507,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"78",2046,0.969,1,0,0.485,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"79",2047,0.969,1,0,0.499,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"80",2048,0.962,1,0,0.482,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"81",2049,0.968,1,0,0.473,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"82",2050,0.974,1,0,0.475,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"83",2051,0.967,1,0,0.485,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"84",2052,0.977,1,0,0.477,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"85",2053,0.971,1,0,0.45,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"86",2054,0.977,1,0,0.45,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"87",2055,0.976,1,0,0.464,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"88",2056,0.974,1,0,0.454,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"89",2057,0.975,1,0,0.486,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"90",2058,0.978,1,0,0.51,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"91",2059,0.973,1,0,0.494,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"92",2060,0.965,1,0,0.512,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"93",2061,0.959,0.999,0,0.52,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"94",2062,0.969,1,0,0.51,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"95",2063,0.968,1,0,0.511,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
"96",2064,0.97,1,0,0.504,"ASSss3","HCR10","REClowmed","INNvar","OERnaq"
