"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"catch";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"P_B1plus_0.8Blim";"P_B1plus_0.8Blow";"firstyear_B1plus_0.8Blim";"firstyear_B1plus_0.8Blow";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";319206.547793722;345196.449834262;470214.17127523;676666.4599301;745731.058780278;493406.741780212;517676.608175198;65839.4851779094;1.07838248465661;0.985;1;2021;2021;0.0826;0;0.235;0;0.162;0;0.413;0.3965;2024;0;0;2021;0;0;0;0.0536286692718818;0.0791387155475756;0.107717523186544;23443.2717280503;40000;40000;36511.7149037405;4191.50178892889;3269.81719532218;1.06544700144137
"initial";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch45";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch45";318009.356442116;344913.090466064;467272.412787686;672848.057426123;741009.325681063;490789.82669726;512839.417279404;65958.7323725101;1.07575207971594;0.985;1;2021;2021;0.085;0;0.242;0;0.162;0;0.425;0.4065;2024;0;0;2021;0;0;0;0.0567266263998995;0.0854311485701967;0.1158425142412;23416.8783590788;45000;45000;39334.996986584;6044.75404769624;4794.95413107889;1.09288441312482
"initial";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch50";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch50";316968.718349936;344270.302903481;465292.746396651;668010.959021046;736652.065316172;488741.331419389;507875.297588687;66154.7322053623;1.07358639206778;0.985;1;2021;2021;0.0858;0;0.244;0;0.162;0;0.429;0.4095;2024;0;0;2021;0;0;0;0.0591373343770996;0.0906182743832898;0.124197438113059;23361.1581151592;46310.5838497865;50000;41689.388738495;7830.0955423778;6324.49365965028;1.11867163764236
"initial";"ASSnone_HCR8_RECmix_INNvar_OERnone_catch50";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";"catch50";259953.186363109;278095.927766246;419418.293777101;635501.31119621;712318.916519184;441222.813066964;462078.129473395;55869.3048313647;1.05050924201722;0.893;1;2021;2021;0.2774;0.001;0.381;0.003;0.319;0.002;1.387;1.358;NA;0.005;0.005;2021;0;0;0;0.0583870017603797;0.0882812993871181;0.129699628869641;17422.9775162348;39069.6018828575;50105.2879511464;38002.2043716976;7895.22217478412;6779.55334027239;1.0698263850808
"initial";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch40";233253.389519221;251750.60431409;323599.483880262;415791.73502611;449531.559996189;330442.950028305;291793.13046643;34583.661704978;0.959480305908826;0.836;1;2021;2021;0.5834;0.0056;0.885;0.022;0.763;0.019;2.917;2.7325;NA;0.028;0.028;2021;0;0;0;0.067283437225255;0.12541106276566;0.179800388153882;22502.0352087853;40000;40000;37737.3890355159;4315.49066573746;2443.64607464082;1.11902051244817
"initial";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch45";224593.642133322;242564.549077771;319317.372989267;416399.180984061;451704.120363639;326221.357238729;282467.453208194;35554.0214740005;0.953390576793851;0.794;1;2021;2021;0.5988;0.0114;0.895;0.046;0.777;0.036;2.994;2.8465;NA;0.057;0.056;2021;0;0;0;0.0674645975200711;0.141693689894606;0.214141784986601;22311.0873510803;45000;45000;41587.5209888465;5967.47139114424;3399.51057458759;1.14962626065205
"initial";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch50";222874.227400352;240057.120388417;318876.066679646;418419.217132961;456037.576700497;326567.687705826;278940.722456668;36918.7644703724;0.94839547358801;0.796;0.999;2021;2021;0.6036;0.0146;0.901;0.052;0.803;0.042;3.018;2.846;NA;0.073;0.072;2021;0;0;0;0.0664851157788743;0.156467076453744;0.243228907708865;21937.9522686102;50000;50000;45122.336019923;7619.27918286725;4381.5929990511;1.17595162930609
"initial";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch40";306755.983106555;335653.201322585;472239.607465356;668452.797227873;736251.260723283;489023.801224449;517266.293500019;63428.2004544245;1.0721404827771;0.979;1;2021;2021;0.1048;8e-04;0.254;0.003;0.186;0.002;0.524;0.496;NA;0.004;0.004;2021;0;0;0;0.0483337760826381;0.0816761432817134;0.127002893848393;22330.1305260286;40000;40000;37330.7017566498;4381.66195104834;2557.92911225913;1.11687548261434
"initial";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch45";302925.608971567;334569.343705306;470012.143686395;669771.872623469;738429.392609118;487901.982712952;509313.24617905;64517.8019863458;1.06754347644846;0.975;0.999;2021;2021;0.1074;0.0014;0.264;0.004;0.19;0.003;0.537;0.503;NA;0.007;0.007;2021;0;0;0;0.0495192372225017;0.0897647236080678;0.143560984050312;21984.6217772032;45000;45000;40876.6529164615;5985.78425180828;3570.59254416854;1.14504080881858
"initial";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch50";303967.577926084;332524.989024135;466088.954970527;667096.292582092;732506.761655603;486041.883199153;509118.045490619;64185.0593614253;1.06620631982367;0.978;1;2021;2021;0.1098;0.0016;0.269;0.005;0.187;0.003;0.549;0.5205;NA;0.008;0.007;2021;0;0;0;0.0497154988273701;0.0973377564096664;0.158626843056681;22117.8988296686;50000;50000;43995.351543433;7687.25178485968;4649.87979078663;1.16900684893052
