"scenario";"Ass";"Rule";"Rec";"INN";"OER";"catch";"year";"biomass_q95";"biomass_q50";"biomass_q05";"catch_q95";"catch_q50";"catch_q05";"catch.iyv_q95";"catch.iyv_q50";"catch.iyv_q05";"discards_q95";"discards_q50";"discards_q05";"disc.iyv_q95";"disc.iyv_q50";"disc.iyv_q05";"f_q95";"f_q50";"f_q05";"landings_q95";"landings_q50";"landings_q05";"land.iyv_q95";"land.iyv_q50";"land.iyv_q05";"rec_q95";"rec_q50";"rec_q05";"ssb_q95";"ssb_q50";"ssb_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2020;426967.628316344;346421.380214675;290421.18478947;19106;19106;19106;1.38861792390848;1.38861792390848;1.38861792390848;0;0;0;NA;NA;NA;0.071656446104668;0.0594381508250221;0.0483636943045145;19106;19106;19106;1.38861792390848;1.38861792390848;1.38861792390848;29701156.8696392;11867992.9427876;5033915.03310454;425929.307846302;345546.621481903;289594.730375808;0.503112164631387;0.41968812314614;0.343352903376885;19106;19106;19106
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2021;603215.10979467;406418.655444747;305042.751620472;40000;32945.4744033242;22095.9403111066;2.09358316759133;1.72435226647777;1.15649221768589;0;0;0;NA;NA;NA;0.113164840031021;0.0820053235546739;0.0549076035419471;40000;32945.4744033242;22095.9403111066;2.09358316759133;1.72435226647777;1.15649221768589;29458086.7897579;12138505.8070021;5013134.33247507;603215.10979467;406418.655444747;305042.751620472;0.77951963498791;0.573045014713924;0.38853574616575;40000;32945.4744033242;22095.9403111066
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2022;702583.85322705;452633.981328189;315887.352521722;40000;40000;24107.8824713418;1.62577024813259;1.10465213001968;0.832527154719286;0;0;0;NA;NA;NA;0.114245698011806;0.0835756601121266;0.0574825393917396;40000;40000;24107.8824713418;1.62577024813259;1.10465213001968;0.832527154719286;28930514.497409;12125863.4908887;5221221.26857865;702583.85322705;452633.981328189;315887.352521722;0.786576320911479;0.583601284506769;0.406247302706439;40000;40000;24107.8824713418
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2023;737164.166895017;482262.741833369;318987.213703156;40000;40000;22417.3502757359;1.405663012221;1;0.651433627914532;0;0;0;NA;NA;NA;0.0999175018296594;0.0775652466004852;0.0528131691950393;40000;40000;22417.3502757359;1.405663012221;1;0.651433627914532;32004156.3914417;12143970.5456928;5014059.73755493;737164.166895017;482262.741833369;318987.213703156;0.692479054359381;0.543120325988065;0.374099983572485;40000;40000;22417.3502757359
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2024;780940.003908404;504819.175065974;339813.758998464;40000;40000;26054.840772321;1.49762403305134;1;0.905220221118913;0;0;0;NA;NA;NA;0.103943241354249;0.0772960288724907;0.0531473265929905;40000;40000;26054.840772321;1.49762403305134;1;0.905220221118913;30194643.6920347;12294045.8476067;5005707.70161459;780940.003908404;504819.175065974;339813.758998464;0.719029269779847;0.54130211653543;0.376405391259705;40000;40000;26054.840772321
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2025;808243.403210018;517676.608175198;350896.513102714;40000;40000;29612.8959127703;1.28784006180257;1;0.891889524916673;0;0;0;NA;NA;NA;0.104244898182341;0.0765432054630397;0.0503859090045584;40000;40000;29612.8959127703;1.28784006180257;1;0.891889524916673;28346453.7127455;12196069.7028419;5045690.48031305;808243.403210018;517676.608175198;350896.513102714;0.721016179666712;0.536215457810466;0.357249512187344;40000;40000;29612.8959127703
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2026;803402.100737101;533244.159340095;359619.84909003;40000;40000;29752.1418053756;1.16262206464979;1;0.857265945470288;0;0;0;NA;NA;NA;0.101615048491277;0.0752987225126017;0.0512408085182716;40000;40000;29752.1418053756;1.16262206464979;1;0.857265945470288;27420446.9493183;12456932.8592172;5434895.32843129;803402.100737101;533244.159340095;359619.84909003;0.703675627999578;0.527799197742965;0.363139142979657;40000;40000;29752.1418053756
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2027;801200.262501859;548901.767406021;363745.025193272;40000;40000;31102.2068418249;1.18722599215042;1;0.883281898467529;0;0;0;NA;NA;NA;0.101230884683465;0.073925213396479;0.0513205860869498;40000;40000;31102.2068418249;1.18722599215042;1;0.883281898467529;29754809.7823036;12295302.910517;5408213.47619093;801200.262501859;548901.767406021;363745.025193272;0.701139003937985;0.518499308292683;0.363689330951907;40000;40000;31102.2068418249
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2028;823679.100645555;547307.73356562;364296.883908359;40000;40000;31184.8930921223;1.11910630656963;1;0.902278256862789;0;0;0;NA;NA;NA;0.100022982064951;0.0735444621971577;0.0507416664955917;40000;40000;31184.8930921223;1.11910630656963;1;0.902278256862789;27776392.3291669;12157471.4730182;5360856.02877393;823679.100645555;547307.73356562;364296.883908359;0.693176788065315;0.515919231291069;0.359695533942487;40000;40000;31184.8930921223
"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";2029;812886.332606479;551458.692711118;369151.067700235;40000;40000;31295.603361293;1.1139315093463;1;0.911932619131053;0;0;0;NA;NA;NA;0.100034748843597;0.0733009373297502;0.0508856069250977;40000;40000;31295.603361293;1.1139315093463;1;0.911932619131053;30962453.3667081;12509081.2423716;4930844.15097393;812886.332606479;551458.692711118;369151.067700235;0.693254615473152;0.514268564501702;0.360688716426477;40000;40000;31295.603361293
