Rec,REClow,REClow,REClow,REClowmed,REClowmed,REClowmed,RECmix,RECmix,RECmix
Rule,HCR8,HCR9,HCR10,HCR8,HCR9,HCR10,HCR8,HCR9,HCR10
"Spawning Biomass: B1+ 
(median, th tonnes)",326,325,324,468,464,467,425,421,421
,311,308,307,502,496,496,455,447,444
,276,273,271,568,559,542,551,534,510
"F (median, year-1)",0.1,0.104,0.106,0.08,0.087,0.093,0.082,0.089,0.094
,0.1,0.102,0.103,0.077,0.085,0.093,0.08,0.087,0.094
,0.128,0.135,0.137,0.072,0.082,0.093,0.074,0.084,0.095
"Catch 
(median, th tonnes)",33,33,33,40,45,50,40,43,43
,31,30,30,40,45,50,40,45,49
,37,36,35,40,45,50,40,45,50
"IAV1 Catch 
(absolute, th tonnes)",4,6,6,3,4,5,3,4,5
,5,6,7,2,3,4,3,4,4
,4,6,7,0,1,2,1,1,2
Probability of closure (%),0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
first year P(B1+ ≥ Blim) > 95%,NA,NA,NA,2025,2025,2025,NA,NA,NA
first year P(B1+ ≥ Blim_low) > 95%,2021,2021,2021,2021,2021,2021,2021,2021,2021
Risk3 for Blim (%),85,86,87,2,3,4,9,14,18
Risk3 for Blim_low(%),6,6,7,0,0,0,1,1,1
